"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Document Type","Publication Stage","Open Access","Source","EID"
"Góngora-Rivera F.; Soto-Hernández J.L.; González Esquivel D.; Cook H.J.; Máquez-Caraveo C.; Hernández Dávila R.; Santos-Zambrano J.","Góngora-Rivera, F. (6507847859); Soto-Hernández, J.L. (6701330260); González Esquivel, D. (6602742023); Cook, H.J. (7403027893); Máquez-Caraveo, C. (36340438600); Hernández Dávila, R. (13104798500); Santos-Zambrano, J. (7801488989)","6507847859; 6701330260; 6602742023; 7403027893; 36340438600; 13104798500; 7801488989","Albendazole trial at 15 or 30 mg/kg/day for subarachnoid and intraventricular cysticercosis","2006","Neurology","66","3","","436","438","2","80","10.1212/01.wnl.0000195887.63124.dc","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646197069&doi=10.1212%2f01.wnl.0000195887.63124.dc&partnerID=40&md5=cdf4f98cb0b0a18dd1ecb255b4a0b0f8","Thirty-six patients with subarachnoid and intraventricular cysticercosis were randomly assigned to receive albendazole at 15 or 30 mg/kg/day plus dexamethasone for 8 days. Results favored a higher dose, with larger cyst reduction on MRI at 90 and 180 days and higher albendazole sulfoxide levels in plasma. An albendazole course at 30 mg/kg/day combined with corticosteroids is safe and more effective than the usual dose. A single treatment was insufficient in intraventricular and giant cysts. Copyright © 2006 by AAN Enterprises, Inc.","","Adult; Albendazole; Anticestodal Agents; Cerebral Ventricles; Dexamethasone; Dose-Response Relationship, Drug; Drug Administration Schedule; Drug Therapy, Combination; Female; Headache; Humans; Male; Middle Aged; Neurocysticercosis; Subarachnoid Space; Treatment Outcome; alanine aminotransferase; albendazole; corticosteroid; dexamethasone; prednisone; albendazole; anticestodal agent; dexamethasone; abnormally high substrate concentration in blood; adult; article; brain ventricle; clinical article; clinical trial; controlled clinical trial; controlled study; dose response; drug blood level; drug efficacy; drug safety; female; headache; human; hyperglycemia; leukocytosis; male; neurocysticercosis; nuclear magnetic resonance imaging; paresthesia; priority journal; randomized controlled trial; seizure; subarachnoid space; brain ventricle; chemically induced disorder; drug administration; drug combination; headache; middle aged; parasitology; subarachnoid space; treatment outcome","","","Article","Final","","Scopus","2-s2.0-33646197069"
"Sharma S.R.; Agarwal A.; Kar A.M.; Shukla R.; Garg R.K.","Sharma, Shri Ram (7405876771); Agarwal, Atul (35475557700); Kar, A.M. (7201698467); Shukla, Rakesh (55953018400); Garg, R.K. (7202772516)","7405876771; 35475557700; 7201698467; 55953018400; 7202772516","Evaluation of role of steroid alone and with albendazole in patients of epilepsy with single-small enhancing computerized tomography lesions","2007","Annals of Indian Academy of Neurology","10","1","","39","43","4","10","10.4103/0972-2327.31484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34247277125&doi=10.4103%2f0972-2327.31484&partnerID=40&md5=ab5c49e112651e5f269f98429d4deb4a","This study was planned to evaluate the role of steroid alone and with albendazole in patients of single-small enhancing computerized tomography (CT) lesions in Indian patients presenting with new-onset seizures. In this study, 95 patients with new onset seizures and a single enhancing CT lesion were randomly divided in two groups to receive either antiepileptic drug and steroid alone (n=42) or antiepileptic drug with a steroid and albendazole (n=48). These patients were prospectively followed-up for six months. Repeat CT scans were performed after 30 days and six months of registration. The majority of patients were below 30 years of age. Simple partial seizure, with or without secondary generalization, was the commonest type of seizure encountered in these patients. Follow-up CT scans, after one month of registration showed complete disappearance of lesion in 16.7% of patients in Group I and in 25% of patients in Group II (χ2 =0.93, P =0.334). Follow-up CT scans, after six months of registration showed complete disappearance of lesion in 59.5% of patients in Group I and in 68.8% of patients in Group II (χ2=0. 83, P =0.362). During the six months follow-up five patients (11.8%) in Group I and nine patients (18.7%) in Group II experienced seizures recurrence. Two patients in Group II experienced seizure recurrence despite complete disappearance of CT lesions. Seizure control and disappearance of lesion was same in both Groups. Albendazole does not seem to affect resolution.","Albendazole; Computed tomography; Epilepsy; Neurocysticercosis; Outcome; Steroid","albendazole; anticonvulsive agent; prednisolone; steroid; adult; article; brain damage; computer assisted tomography; controlled study; epilepsy; female; focal epilepsy; follow up; human; major clinical study; male; prospective study; recurrent disease; registration; seizure; treatment outcome","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-34247277125"
"Raibagkar P.; Berkowitz A.L.","Raibagkar, Pooja (56479213400); Berkowitz, Aaron L. (55652826900)","56479213400; 55652826900","The Many Faces of Neurocysticercosis","2018","Journal of the Neurological Sciences","390","","","75","76","1","13","10.1016/j.jns.2018.04.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045537199&doi=10.1016%2fj.jns.2018.04.018&partnerID=40&md5=ff5eeefbed5d82e9620ae5111f938453","Neurocysticercosis (NCC) is the most common parasitic disease of the central nervous system, and one of the most common causes of epilepsy worldwide. The radiologic appearance of neurocysticercosis varies depending on the stage of the disease, and the stage of the disease determines the appropriate treatment. In this article, we review key neuroimaging characteristics of the stages of NCC (vesicular, colloidal, granular, and calcified) and treatment principles for these different stages of the disease. © 2018 Elsevier B.V.","Epilepsy; Imaging; Infections; Neurocysticercosis; Parasitic infections","Disease Progression; Humans; Neurocysticercosis; Neuroimaging; antiparasitic agent; corticosteroid; Article; human; neurocysticercosis; neuroimaging; pathophysiology; priority journal; diagnostic imaging; disease exacerbation; neurocysticercosis","","","Article","Final","","Scopus","2-s2.0-85045537199"
"Prakash S.; Garg R.K.; Kar A.M.; Shukla R.; Agarwal A.; Verma R.; Singh M.K.","Prakash, S. (56368781900); Garg, R.K. (7202772516); Kar, A.M. (7201698467); Shukla, R. (55953018400); Agarwal, A. (35475557700); Verma, R. (59142228300); Singh, M.K. (58757958100)","56368781900; 7202772516; 7201698467; 55953018400; 35475557700; 59142228300; 58757958100","Intravenous methyl prednisolone in patients with solitary cysticercus granuloma: A random evaluation","2006","Seizure","15","5","","328","332","4","25","10.1016/j.seizure.2006.03.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744545744&doi=10.1016%2fj.seizure.2006.03.003&partnerID=40&md5=cce4f5864d65d4ab366c3aba36199131","Purpose: To evaluate the role of intravenous methyl prednisolone in patients with solitary cysticercus granuloma with new-onset seizures. Methods: In this open-label, randomized, prospective, follow-up study, 52 patients with new-onset seizures and a single enhancing CT lesion of cysticercus were randomly divided in two groups to receive either intravenous methyl prednisolone for 5 days along with antiepileptic drug (n = 25) or antiepileptic drug monotherapy (n = 27) alone. The patients were followed up for at least for 9 months. Repeat CT scans were performed after 2 months. Results: After 2 months, lesion disappeared in 60% patients of intravenous methyl prednisolone group and 18.5% patients receiving only antiepileptic drug (p = 0.001). As far as seizure recurrence was concerned, a lower number (16% versus 33%) of intravenous methyl prednisolone treated patient had recurrence, the difference was insignificant. Conclusion: Intravenous methyl prednisolone therapy helps in early resolution of solitary cysticercus granuloma. © 2006 British Epilepsy Association.","Cysticercosis; Cysticercus granuloma; Epilepsy; Neuroimaging in epilepsy","Adolescent; Anti-Inflammatory Agents; Anticonvulsants; Drug Therapy, Combination; Female; Follow-Up Studies; Granuloma; Humans; India; Injections, Intravenous; Male; Methylprednisolone; Neurocysticercosis; Prospective Studies; Seizures; anticonvulsive agent; carbamazepine; methylprednisolone; phenytoin; abdominal pain; article; brain cysticercosis; brain tomography; clinical trial; computer assisted tomography; controlled clinical trial; controlled study; Cysticercus; drug dose regimen; erythema multiforme; female; follow up; granuloma; human; image enhancement; major clinical study; male; monotherapy; priority journal; randomized controlled trial; recurrent disease; seizure; statistical significance","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-33744545744"
"Machado-Porto G.C.L.; Lucato L.T.; Porto F.H.G.; de Souza E.C.; Nitrini R.","Machado-Porto, Gislaine Cristina Lopes (55173938200); Lucato, Leandro Tavares (6507384334); Porto, Fábio Henrique de Gobbi (30067935900); de Souza, Evandro Cesar (7101666769); Nitrini, Ricardo (7003850677)","55173938200; 6507384334; 30067935900; 7101666769; 7003850677","Reversible dementia due to neurocysticercosis: Improvement of the racemose type with antihistamines; [Demência reversível por neurocisticercose: Melhora da forma racemosa com o uso de anti-histamínicos]","2015","Dementia e Neuropsychologia","9","1","","85","90","5","4","10.1590/S1980-57642015DN91000014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925934887&doi=10.1590%2fS1980-57642015DN91000014&partnerID=40&md5=bc40c49944ed6a2be53ecc88674df627","Infection of the human central nervous system (CNS) by the larvae of Taenia solium, termed neurocysticercosis (NCC), is endemic in most developing countries, where it is a major cause of acquired seizures and other neurological morbidity, including neuropsychiatric symptoms. However, despite its frequent manifestation, some findings, such as cognitive impairment and dementia, remain poorly understood. Less commonly, NCC may affect the ventricular system and subarachnoid spaces and this form is known as extraparenchymal neurocysticercosis. A particular presentation of the subarachnoid form is called racemose cysticercosis, which has a progressive pattern, frequently leads to hydrocephalus and can be life-threatening. Here we review a case of the racemose variety of cysticercosis, complicated by hydrocephalus and reversible dementia, with remission of symptoms after derivation and that remained stable with use of dexchlorpheniramine. We discuss the challenges in diagnosis, imaging findings, treatment and follow-up of this disease. © 2015, Academia Brasileira de Neurologia. All rights reserved.","Antihistamine; Dementia; Dexchlorpheniramine; Neurocysticercosis; Racemose form; Reversible dementia; Taenia solium","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84925934887"
"Carpio A.; Romo M.L.","Carpio, Arturo (7003513941); Romo, Matthew L. (56037887400)","7003513941; 56037887400","The relationship between neurocysticercosis and epilepsy: An endless debate; [A relação entre neurocisticercose e epilepsia: Um debate interminável]","2014","Arquivos de Neuro-Psiquiatria","72","5","","383","390","7","41","10.1590/0004-282X20140024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901285635&doi=10.1590%2f0004-282X20140024&partnerID=40&md5=10ced3d99cc46411eedc44b82dd41fc3","Neurocysticercosis (NC), or cerebral infection with Taenia solium, is an important public health problem worldwide. Among the neurological sequelae of NC, seizures have been described as the most common symptom. Acute symptomatic seizures often result from degeneration of a viable cyst; however, not all of these patients with acute or provoked seizures will develop epilepsy (i.e., recurrent unprovoked seizures). Because of the high prevalence of epilepsy and NC, a causal, as well as incidental relationship between the two may exist. The epileptogenicity of calcified cysts as well as the potential association between NC and hippocampal sclerosis necessitates future research. Antihelminthic treatment of NC results in disappearance of viable cysts in about one-third of patients with parenchymal disease, but a reduction in seizure recurrence has not been demonstrated in randomized controlled trials. Prevention is critical to reduce the burden of seizure and epilepsy related to NC.","Cysticercosis; Parasitic; Seizure; Taenia solium","Anthelmintics; Epilepsy; Female; Humans; Male; Neurocysticercosis; Prognosis; Recurrence; Seizures; Treatment Outcome; albendazole; anthelmintic agent; carbamazepine; phenytoin; praziquantel; article; calcification; computer assisted tomography; disease eradication; DNA polymorphism; enzyme linked immunosorbent assay; epilepsy; epileptogenesis; hippocampal sclerosis; human; immune response; immunological tolerance; meta analysis (topic); neurocysticercosis; nuclear magnetic resonance imaging; prevalence; prognosis; randomized controlled trial (topic); recurrent disease; seizure","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84901285635"
"Sinh C.T.; Thang T.T.; Thang T.D.; Loi C.B.; Anh L.T.","Sinh, C.T. (57356511200); Thang, T.T. (58096931900); Thang, T.D. (57917960000); Loi, C.B. (57215487279); Anh, L.T. (59158224000)","57356511200; 58096931900; 57917960000; 57215487279; 59158224000","THE EFFICACY AND SAFETY OF THREE 30-DAY COURSES OF ALBENDAZOLE IN PATIENTS WITH NEUROCYSTICERCOSIS; [ЭФФЕКТИВНОСТЬ И БЕЗОПАСНОСТЬ ТРЕХ 30-ДНЕВНЫХ КУРСОВ АЛЬБЕНДАЗОЛА У БОЛЬНЫХ НЕЙРОЦИСТИЦЕРКОЗОМ]","2022","Russian Journal of Infection and Immunity","12","6","","1143","1148","5","0","10.15789/2220-7619-TEA-1910","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147750666&doi=10.15789%2f2220-7619-TEA-1910&partnerID=40&md5=6008cd39f2c1401a1bf0401bd9cfe7f9","Albendazole is one of the drugs indicated for the treatment of neurocysticercosis. However, data on the treatment outcome of a long course of this drug is scarce. This study aims to investigate the efficacy and safety of three 30-day courses of albendazole in patients with neurocysticercosis. Materials and methods. The diagnosis of neurocysticercosis was based on epidemiological, clinical and laboratory criteria as guided by the Vietnamese Ministry of Health. Sixty patients with a mean age of 50.17±10.03 years old, with 86.7% (95% CI: 77.8–95.5%) men, were involved in this study. Patients received three 30-day courses of albendazole with an intermittence of 20 days. Additional treatment included steroids, anticonvulsants or analgesics. Based on brain magnetic resonance imaging 6 months after the therapy, the efficacy was classified as cure (viable cysts not discernible), improvement (50% or more cysts disappeared or calcified) or inefficacy (changes in less than 50% of the cysts). The safety was determined based on the changes of biochemical parameters after each treatment course. Results. The most common clinical presentations were headache (90.0%, 95% CI: 82.2–97.8) and/ or seizure (68.3%, 95% CI: 56.2–70.4), followed by other symptoms such as fainting, memory loss, and limb numbness. Active cysts were discovered in all cases and located mainly in the parenchymal region. After therapy, the rates of cure, improvement or inefficacy were 43.3% (95% CI: 30.4–56.2%), 51.7% (95% CI: 38.7–64.7%) and 5.0% (95% CI: 0–10.7%), respectively. Liver enzymes were slightly higher compared to those before therapy and mostly returned to normal ranges after drug interruption. Alanine aminotransferase levels before the 3rd course were higher than values before the first and second courses. No abnormalities in blood urea or creatinine after therapy were reported. Conclusion. Three 30-day cycles of albendazole appear to have good efficacy and tolerability in patients with neurocysticercosis. © Sinh C.T. et al., 2022.","albendazole; efficacy; long course; neurocysticercosis; safety","alanine aminotransferase; albendazole; analgesic agent; anticonvulsive agent; aspartate aminotransferase; praziquantel; steroid; adult; aged; alanine aminotransferase level; amnesia; antiparasitic therapy; Article; clinical examination; cyst; drug efficacy; drug safety; faintness; female; headache; human; hypertransaminasemia; limb; major clinical study; male; multiple cycle treatment; neurocysticercosis; neuroimaging; nuclear magnetic resonance imaging; paresthesia; prospective study; seizure; treatment duration; treatment outcome; vomiting","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85147750666"
"Pradhan S.; Das A.; Mulmuley M.; Das A.","Pradhan, Sunil (7202877321); Das, Animesh (57194278406); Mulmuley, Madhura (57201296377); Das, Ananya (57209301661)","7202877321; 57194278406; 57201296377; 57209301661","Neurocysticercosis or tuberculoma – Which one has more epileptic potential?","2020","Seizure","78","","","91","95","4","4","10.1016/j.seizure.2020.03.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082759964&doi=10.1016%2fj.seizure.2020.03.007&partnerID=40&md5=13f16ac612a504115eb9303e0a3c312a","Purpose: The duration of antiepileptic drug (AED) treatment in the management of seizures due to ring enhancing lesions (REL) remains a matter of debate. We undertook a prospective cohort study to look into the seizure patterns and incidence of recurrence in association with two of the most common causes of RELs after gradually stopping AEDs at least 18 months after acheiving seizure control. Methods: Ninety patients with neurocysticercosis (NCC) and twenty-nine patients with tuberculoma were treated with anti-helminthic and anti-tubercular drugs according to current recommended guidelines, and followed up for a minimum of 2 years after the last seizure free day. In every patient included in the study, AEDs were tapered within six months of attaining a seizure-free interval of 18 months. We looked at the incidence of recurrent seizures after stopping AEDs in both groups of patients. Results: The frequency of baseline seizures (2.1 vs 1.5 per year, p < 0.001) and number of antiepileptic drugs (2.12 vs 1.48, p < 0.001) were greater in patients with NCC than those with tuberculoma. Patients with NCC had a greater incidence of recurrent seizures (1.17 vs 0.07 in the next six months, p < 0.001) after stopping the AEDs. The median interval to seizure recurrence after stopping AEDs was 2.2 months in patients with NCC. Conclusions: Among RELs, NCC lesions have a greater epileptogenic potential than tuberculomas. AEDs can be tapered in patients with tuberculoma after a seizure free period of 18 months with a very low risk of recurrence. © 2020","Antiepileptics; Neurocysticercosis; Seizure; Tuberculoma","Adult; Anthelmintics; Anticonvulsants; Antitubercular Agents; Female; Humans; Magnetic Resonance Imaging; Male; Neurocysticercosis; Prospective Studies; Recurrence; Seizures; Tuberculoma, Intracranial; Young Adult; anthelmintic agent; anticonvulsive agent; tuberculostatic agent; anthelmintic agent; anticonvulsive agent; tuberculostatic agent; adult; Article; cohort analysis; controlled study; epilepsy; female; human; incidence; intracranial tuberculoma; major clinical study; male; neurocysticercosis; priority journal; prospective study; recurrence risk; treatment withdrawal; complication; diagnostic imaging; intracranial tuberculoma; neurocysticercosis; nuclear magnetic resonance imaging; recurrent disease; seizure; young adult","","","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85082759964"
"Cuello-García C.A.; Roldán-Benítez Y.M.; Pérez-Gaxiola G.; Villarreal-Careaga J.","Cuello-García, Carlos A. (15750192900); Roldán-Benítez, Yetiani M. (55979249600); Pérez-Gaxiola, Giordano (36509121900); Villarreal-Careaga, Jorge (15137127100)","15750192900; 55979249600; 36509121900; 15137127100","Corticosteroids for neurocysticercosis: A systematic review and meta-analysis of randomized controlled trials","2013","International Journal of Infectious Diseases","17","8","","e583","e592","9","21","10.1016/j.ijid.2012.12.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891371208&doi=10.1016%2fj.ijid.2012.12.010&partnerID=40&md5=b093caebcdaa0b41787225cc2e93cda9","Background: Neurocysticercosis is an infection of the central nervous system by the larval stage of Taenia solium. It is a major cause of epileptic seizures in low- and middle-income countries. Corticosteroids are frequently used to reduce inflammation and perilesional edema. We aimed to evaluate their efficacy for reducing the rate of seizures and lesion persistence in imaging studies. Methods: We searched randomized controlled trials in Medline, Central, EMBASE, LILACS, and the gray literature without language restrictions. We assessed eligibility, extracted data, and assessed the risk of bias in the included studies. The main outcomes included seizure recurrence and lesion persistence on imaging studies at 6-12 months of follow-up. Risk ratios (RR) were used for evaluating the main outcomes. Results: Thirteen studies involving 1373 participants were included. The quality of the evidence was deemed low to very low. Corticosteroids alone versus placebo/no drug (five trials) reduced the rate of seizure recurrence at 6-12 months (RR 0.46, 95% confidence interval (CI) 0.27-0.77; 426 participants) and the persistence of lesions in imaging studies (RR 0.63, 95% CI 0.43-0.92; 417 participants). No differences were noted in other comparisons, including the use of corticosteroids and albendazole combined. Corticosteroids plus albendazole increased the risk of abdominal pain, rash, and headaches (odds ratio 8.73, 95% CI 2.09-36.5; 116 participants, one trial). Conclusions: Although the evidence suggest corticosteroids can reduce the rate of seizure recurrence and speed up resolution of lesions at 6-12 months of follow-up, there remains uncertainty on the effect estimate due to a high risk of methodological and publication bias. More adequately performed randomized trials that evaluate the use of anthelmintics, corticosteroids, and both combined against placebo are needed. © 2013 International Society for Infectious Diseases.","Cysticercosis; Glucocorticoids; Neurocysticercosis; Taenia solium","albendazole; corticosteroid; dexamethasone; placebo; praziquantel; prednisolone; abdominal pain; article; drug efficacy; follow up; headache; human; neurocysticercosis; rash; recurrent disease; seizure","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84891371208"
"Agapejev S.","Agapejev, Svetlana (6603786117)","6603786117","Neurocysticercosis: The enigmatic disease","2011","Central Nervous System Agents in Medicinal Chemistry","11","4","","261","284","23","18","10.2174/1871524911106040261","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855787355&doi=10.2174%2f1871524911106040261&partnerID=40&md5=4d036dacaf6e816f6129b04a22d8a67f","Neurocysticercosis (NCC) is an infection of the central nervous system (CNS) caused by the metacestode larval form of the parasite Taenia sp. Many factors can contribute to the endemic nature of cysticercosis. The inflammatory process that occurs in the tissue surrounding the parasite and/or distal from it can result from several associated mechanisms and may be disproportionate with the number of cysts. This discrepancy may lead to difficulty with the proper diagnosis in people from low endemic regions or regions that lack laboratory resources. In the CNS, the cysticerci have two basic forms, isolated cysts (Cysticercus cellulosae = CC) and racemose cysts (Cysticercus racemosus = CR), and may be meningeal, parenchymal, or ventricular or have a mixed location. The clinical manifestations are based on two fundamental syndromes that may occur in isolation or be associated: epilepsy and intracranial hypertension. They may be asymptomatic, symptomatic or fatal; have an acute, sub-acute or chronic picture; or may be in remission or exacerbated. The cerebrospinal fluid (CSF) may be normal, even in patients with viable cysticerci, until the patients begin to exhibit the classical syndrome of NCC in the CSF, or show changes in one or more routine analysed parameters. Computed tomography (CT) and magnetic resonance imaging (MRI) have allowed non-invasive diagnoses, but can lead to false negatives. Treatment is a highly controversial issue and is characterised by individualised therapy sessions. Two drugs are commonly used, praziquantel (PZQ) and albendazole (ABZ). The choice of anti-inflammatory drugs includes steroids and dextrochlorpheniramine (DCP). Hydrocephalus is a common secondary effect of NCC. Surgical cases of hydrocephalus must be submitted to ventricle-peritoneal shunt (VPS) immediately before cysticidal treatment, and surgical extirpation of the cyst may lead to an absence of the surrounding inflammatory process. The progression of NCC may be simple or complicated, have remission with or without treatment and may exhibit symptoms that can disappear for long periods of time or persist until death. Unknown, neglected and controversial aspects of NCC, such as the impaired fourth ventricle syndrome, the presence of chronic brain oedema and psychic complaints, in addition to the lack of detectable glucose in the CSF and re-infection are discussed. © 2011 Bentham Science Publishers.","Clinical manifestations; Diagnosis; Epidemiology; Incidence; Neurocysticercosis; Prophylaxis; References; Treatment","albendazole; antiinflammatory agent; dexchlorpheniramine; praziquantel; steroid; acute disease; article; brain ventricle peritoneum shunt; chronic disease; computer assisted tomography; Cysticercus; Cysticercus cellulosae; cysticercus racemosus; disease course; disease exacerbation; epilepsy; fatality; human; hydrocephalus; intracranial hypertension; neurocysticercosis; nuclear magnetic resonance imaging; reinfection; remission; Taenia","","","Article","Final","","Scopus","2-s2.0-84855787355"
