CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
"CN-00998760","Nalini, A; de Souza, A; Saini, J; Thennarasu, K","Quantitative serial T2 relaxometry: a prospective evaluation in solitary cerebral cysticercosis","The neuroradiology journal","2014","We describe the evolution of quantitative T2 relaxometry values on serial MRI in patients with a solitary cerebral cysticercal lesion (SCCL), and determine whether albendazole therapy affects T2 relaxation (T2R) values. Patients with new‐onset seizures and MRI‐confirmed SCCL were randomized to treatment with albendazole and antiepileptics (""treatment group"") or antiepileptics only (""controls""). Serial MRI including T2 relaxometry was performed at baseline, three, six, 12, and 24 months. Of 123 patients recruited, 81 had more than three MRI scans (treatment group: 37; controls: 44; 58 patients had five scans). The lesion wall at baseline showed a mean T2R value of 152.3 ms, centre 474.9 and perilesional parenchyma 338.5 ms. These were significantly higher than those from normal parenchyma (114 ms). Over time, most sharply in the initial three months, T2R values fell but even at 24 months, they remained above those from normal parenchyma. A slight increase in T2R values from the lesion centre at six months was thought to represent the initiation of gliosis. In the treatment group, T2R values approached normal at 24 months, while controls had persistently higher T2R values. The decline in T2R values at six months was more prominent in the treatment group. T2R values at baseline and at three months differed significantly depending on the stage of the lesion, being higher in stage 2 SCCL. T2R values from SCCL declined over 24 months, being significantly higher in earlier stages of degeneration. A mild increase after six months may be due to the initiation of gliosis. T2R values appear to decline faster in patients who receive albendazole.","27","3","339‐349","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 24976202","EMBASE 373617581",,,,"Journal article","*measurement; *neurocysticercosis/di [Diagnosis]; *neurocysticercosis/dt [Drug Therapy]; *neurologic examination; *nuclear magnetic resonance imaging; *quantitative serial t2 relaxometry; *solitary cerebral cysticercosis/di [Diagnosis]; *solitary cerebral cysticercosis/dt [Drug Therapy]; Adolescent; Adult; Albendazole [*administration & dosage]; Albendazole/ct [Clinical Trial]; Albendazole/dt [Drug Therapy]; Algorithms; Anthelmintics [administration & dosage]; Anticonvulsants [*administration & dosage]; Article; Carbamazepine/dt [Drug Therapy]; Clinical evaluation; Controlled study; Degeneration; Drug Therapy, Combination; Drug dose reduction; Drug withdrawal; Epilepsy [*drug therapy, *pathology]; Female; Follow up; Gadolinium; Gliosis; Gray matter; Human; Humans; Image Interpretation, Computer‐Assisted [methods]; Magnetic Resonance Imaging [*methods]; Major clinical study; Male; Neurocysticercosis [*drug therapy, *pathology]; Neuroimaging; Nuclear magnetic resonance scanner; Oxcarbazepine/dt [Drug Therapy]; Parenchyma; Phenytoin/dt [Drug Therapy]; Prospective Studies; Prospective study; Randomized controlled trial; Reproducibility of Results; Seizure; Sensitivity and Specificity; Treatment Outcome; White matter; Young Adult; Young adult","10.15274/NRJ-2014-10054","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00998760/full","Epilepsy"
"CN-00704417","Das, K; Mondal, GP; Banerjee, M; Mukherjee, BB; Singh, OP","Role of antiparasitic therapy for seizures and resolution of lesions in neurocysticercosis patients: an 8 year randomised study","Journal of clinical neuroscience","2007","Neurocysticercosis is a common cause of acquired seizure disorder in developing countries, including India. The role of antiparasitic (albendazole) therapy for seizure control and resolution of lesions is still controversial due to a lack of adequately controlled studies. The objective of the present study was to evaluate the role of albendazole therapy for neurocysticercosis patients with two or more lesions to achieve seizure‐free status and resolution of lesions. This was a randomised controlled study in which patients suffering from neurocysticercosis were prospectively followed up for more than 5 years (from January 1997 to January 2005). Patients were divided into two groups: patients in group A (n=150) were treated with a combination of tapered doses of dexamethasone and albendazole, plus antiepileptic drugs; patients in group B (n=150) were treated with antiepileptic drugs plus a placebo control. Patients were followed up every month for the first 6 months and then at 3‐month intervals thereafter up to 5 years. Variables of interest were (i) recurrence of seizures; (ii) encephalopathy (headache/vomiting/altered sensorium); (iii) need for subsequent hospital admission; (iv) death; (v) resolution of lesions on follow‐up CT. During the first 6 months and at intervals thereafter, increased seizure frequency and hospital readmissions, and increased incidence of encephalopathy were observed in group A (p=0.01), and two patients in this group died with intractable seizures and encephalopathy. A greater proportion of lesions completely resolved in group B (p=0.05), whereas a greater proportion of lesions calcified in group A (p=0.05). Albendazole plus antiepileptic drugs did not have greater beneficial effects than antiepileptic drugs alone, but may have an adverse effect with respect to seizure control, encephalopathy, recurrent hospital admissions, calcification of lesions and cost of treatment.","14","12","1172‐1177","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 17964789","EMBASE 350102785",,,,"Journal article","*neurocysticercosis/dt [Drug Therapy]; *seizure/dt [Drug Therapy]; Adult; Albendazole [*therapeutic use]; Albendazole/cb [Drug Combination]; Albendazole/do [Drug Dose]; Albendazole/dt [Drug Therapy]; Anthelmintics [*therapeutic use]; Anticonvulsive agent/cb [Drug Combination]; Anticonvulsive agent/dt [Drug Therapy]; Antiparasitic Agents [*therapeutic use]; Antiparasitic agent/dt [Drug Therapy]; Article; Brain [parasitology, pathology, physiopathology]; Brain damage; Brain disease; Carbamazepine/dt [Drug Therapy]; Clinical evaluation; Clinical trial; Computer assisted tomography; Controlled clinical trial; Controlled study; Dexamethasone/cb [Drug Combination]; Dexamethasone/do [Drug Dose]; Dexamethasone/po [Oral Drug Administration]; Drug dose reduction; Drug dose regimen; Electroencephalography; Enzyme‐Linked Immunosorbent Assay; Female; Follow up; Follow‐Up Studies; Headache; Hospital readmission; Hospitalization; Human; Humans; Major clinical study; Male; Neurocysticercosis [*complications, *drug therapy, pathology]; Neuroimaging; Nuclear magnetic resonance imaging; Phenytoin/dt [Drug Therapy]; Placebo; Priority journal; Randomized controlled trial; Seizures [*etiology]; Sensory system; Tomography, X‐Ray Computed; Tonic clonic seizure/dt [Drug Therapy]; Valproic acid/dt [Drug Therapy]; Vomiting","10.1016/j.jocn.2006.09.004","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00704417/full","Epilepsy; Infectious Diseases; Pain, Palliative and Supportive Care"
"CN-00730991","de Souza, A; Nalini, A; Kovoor, JM; Yeshraj, G; Siddalingaiah, HS; Thennarasu, K","Natural history of solitary cerebral cysticercosis on serial magnetic resonance imaging and the effect of albendazole therapy on its evolution","Journal of the neurological sciences","2010","AIM: To describe the evolution of imaging characteristics of solitary cerebral cysticercal lesions (SCCL) on serial MRI, and to study the effect of treatment with albendazole. DESIGN: Randomised controlled prospective trial. METHODS AND MATERIAL: 123 patients with new‐onset seizures and SCCL on contrast MRI were randomised to treatment with albendazole and followed with up to five serial MRIs. RESULTS: 81 patients (M ‐ 41, F ‐ 40) with mean age of 19.6+/‐11.7years and 4 or 5 serial MRI were included in the analysis. Analysis was performed on 356 MRI's. Scolex was seen in 61.9% of patients in postcontrast T1 sequence in the first MRI study, and there was a significant drop in visibility from the next scan onwards. Cyst contents were initially T1‐hypointense and T2‐hyperintense with inversion on FLAIR in 30.8% and later scans showed T2‐hypointensity. Cyst wall characteristics changed significantly from initially T2‐hypointensity to later hyperintense rim. Initial scan revealed perilesional oedema in 98.5%, which is resolved by the second scan. Around 17.5% showed subtle perilesional T2‐hyperintensity in follow‐up scans. Enhancement pattern changed significantly from ring to disc, and later to non‐enhancement. Initially, 69.7% lesions were in colloid‐vesicular stage. Lesions moved through subsequent stages of cyst degeneration: time needed for this process is described. Imaging characteristics, both on the first and on subsequent scans, did not differ between albendazole and control groups. CONCLUSIONS: Evolution of SCCL follows a predictable sequence corresponding to morphologic stages described earlier, taking over a year to complete. Contrast enhancement decreases as degeneration progresses, but some calcific lesions continue to enhance. Albendazole therapy may hasten resolution of inflammation around the lesion but affects neither the morphology of the cysticercus nor the process of degeneration and subsequent healing.","288","1‐2","135‐141","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 19875133",,,,,"Journal article","Adolescent; Adult; Albendazole [*therapeutic use]; Anthelmintics [*therapeutic use]; Brain [parasitology, pathology]; Child; Cohort Studies; Contrast Media; Disease Progression; Female; Gadolinium; Humans; Image Processing, Computer‐Assisted; India; Magnetic Resonance Imaging; Male; Middle Aged; Neurocysticercosis [*drug therapy, parasitology, *pathology]; Prospective Studies; Tomography, X‐Ray Computed; Treatment Outcome; Young Adult","10.1016/j.jns.2009.09.018","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00730991/full",
"CN-01339612","de Souza, A; Nalini, A; Saini, J; Thennarasu, K","T2 relaxometry helps prognosticate seizure outcome in patients with solitary cerebral cysticercosis","Journal of the neurological sciences","2017","OBJECTIVE: Correlate serial T2 relaxometry (T2R) values with long term seizure outcome in patients with solitary cerebral cysticercosis (SCC) in order to establish its usefulness as a prognostic marker in these patients. METHODS: Patients with new‐onset seizures due to SCC were imaged serially using a pre‐determined MRI protocol at enrolment and after 3, 6, 12 and 24months. T2 relaxometry was performed using a dual echo sequence with maps generated manually from the measured image intensities at the level of the lesion. Patients were randomised to receive albendazole plus antiepileptic drugs, or only antiepileptic treatment (""controls""). At each visit, as well as four years after study initiation, patients were reviewed for seizure recurrence. Clinical and radiological outcomes were assessed by physicians blinded to treatment received. RESULTS: Of 123 patients recruited, 77 had at least four MRIs and >12month follow‐up, and were included for analysis. Baseline clinical and demographic parameters as well as antiepileptic treatment were similar between albendazole and control groups. T2 values from the lesion were higher than normal parenchyma initially, and fell to approach normal over six months. Controls had higher T2 values from the lesion centre and wall at six months than those who received albendazole. However no difference was seen in T2 values from perilesional parenchyma between treatment and control groups, indicating lack of modulation of the development of perilesional gliosis by albendazole therapy. Patients with seizures persisting >6months after enrolment had higher perilesional T2 values than those who were seizure‐free. A rise in perilesional T2 value at 12months is probably due to gliosis. A later stage of degeneration was associated with a reduced likelihood of seizure relapse. SIGNIFICANCE: T2 relaxometry at three and six months after seizure onset can identify patients likely to have seizures beyond six months after onset. Persistently abnormal T2 values in patients with poorer outcomes reflect the development of perilesional gliosis.","376",,"1‐6","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 28431589","EMBASE 614635624",,,,"Journal article","*gliosis; *measurement; *neurocysticercosis; *neurocysticercosis/dt [Drug Therapy]; *relaxation time; *seizure; *seizure/dt [Drug Therapy]; *t2 relaxometry; Adolescent; Adult; Albendazole; Albendazole [therapeutic use]; Albendazole/cb [Drug Combination]; Albendazole/cm [Drug Comparison]; Albendazole/dt [Drug Therapy]; Anticonvulsant therapy; Anticonvulsants [therapeutic use]; Anticonvulsive agent; Article; Brain [*diagnostic imaging, *drug effects]; Carbamazepine/cb [Drug Combination]; Carbamazepine/dt [Drug Therapy]; Child; Child, Preschool; Chronic Disease; Clinical outcome; Clinical trial; Control group; Controlled clinical trial; Controlled study; Demography; Drug Therapy, Combination; Drug therapy; Female; Follow up; Follow‐Up Studies; Gliosis [diagnostic imaging, drug therapy]; Human; Humans; Image intensification; Magnetic Resonance Imaging [methods]; Major clinical study; Male; Middle Aged; Modulation; Neurocysticercosis [*complications, diagnostic imaging]; Neurocysticercosis/dt [Drug Therapy]; Nuclear magnetic resonance imaging; Nuclear magnetic resonance scanner; Oxcarbazepine/cb [Drug Combination]; Oxcarbazepine/dt [Drug Therapy]; Parenchyma; Phenytoin/cb [Drug Combination]; Phenytoin/dt [Drug Therapy]; Physician; Praziquantel/cb [Drug Combination]; Praziquantel/cm [Drug Comparison]; Praziquantel/dt [Drug Therapy]; Priority journal; Prognosis; Prognostic assessment; Prospective study; Randomized controlled trial; Recurrent disease; Relapse; Seizure/dt [Drug Therapy]; Seizures [*diagnostic imaging, *drug therapy, etiology]; Single blind procedure; Time Factors; Treatment Outcome; Treatment duration; Young Adult","10.1016/j.jns.2017.02.052","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01339612/full",
"CN-00460049","Garcia, HH; Pretell, EJ; Gilman, RH; Martinez, SM; Moulton, LH; Del Brutto, OH; Herrera, G; Evans, CA; Gonzalez, AE","A trial of antiparasitic treatment to reduce the rate of seizures due to cerebral cysticercosis","New England journal of medicine","2004","BACKGROUND: Neurocysticercosis is the main cause of adult‐onset seizures in the developing world. Whether therapy with antiparasitic agents results in improved seizure control has been questioned because of the lack of adequate, controlled studies. METHODS: We conducted a double‐blind, placebo‐controlled trial in which 120 patients who had living cysticerci in the brain and seizures treated with antiepileptic drugs were randomly assigned to receive either 800 mg of albendazole per day and 6 mg of dexamethasone per day for 10 days (60 patients) or two placebos (60 patients). The patients were followed for 30 months or until they had been seizure‐free for 6 months after the doses of the antiepileptic drugs had been tapered. The efficacy of treatment was measured as the decrease in the number of seizures after treatment. RESULTS: In the albendazole group, there was a 46 percent reduction in the number of seizures (95 percent confidence interval, ‐74 to 83 percent) during months 2 to 30 after treatment. This reduction, which was not statistically significant, was composed of a nonsignificant reduction of 41 percent in the number of partial seizures (95 percent confidence interval, ‐124 to 84 percent) and a significant 67 percent reduction in the number of seizures with generalization (95 percent confidence interval, 20 to 86 percent). Most of the difference in the number of partial seizures was attributable to a few patients who had many seizures during follow‐up. The proportions of patients who had partial seizures during follow‐up were similar in the two groups (19 of 57 in the albendazole group and 16 of 59 in the placebo group), but the patients in the placebo group had a greater tendency to have seizures with generalization (22 of 59, vs. 13 of 57 in the albendazole group; risk ratio, 1.63; 95 percent confidence interval, 0.91 to 2.92). More of the intracranial cystic lesions resolved in the albendazole group than in the placebo group. With the sole exception of abdominal pain, side effects did not differ significantly between the two groups. CONCLUSIONS: In patients with seizures due to viable parenchymal cysts, antiparasitic therapy decreases the burden of parasites and is safe and effective, at least in reducing the number of seizures with generalization.","350","3","249‐258","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 14724304",,,,,"Journal article","Adolescent; Adult; Aged; Albendazole [adverse effects, *therapeutic use]; Anticestodal Agents [adverse effects, *therapeutic use]; Anticonvulsants [therapeutic use]; Anti‐Inflammatory Agents [therapeutic use]; Brain Diseases [complications, *drug therapy, pathology]; Brain [pathology]; Dexamethasone [therapeutic use]; Double‐Blind Method; Drug Therapy, Combination; Female; Follow‐Up Studies; Granuloma [etiology]; Humans; Magnetic Resonance Imaging; Male; Middle Aged; Neurocysticercosis [complications, *drug therapy, pathology]; Seizures [*drug therapy, etiology]","10.1056/NEJMoa031294","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00460049/full","Epilepsy; Infectious Diseases"
"CN-02690395","NCT06376396,","Assessment of Combined Praziquantel and Albendazole vs Albendazole Alone to Treat Active Parenchymal Neurocysticercosis","https://clinicaltrials.gov/ct2/show/NCT06376396","2024","This is a randomized, two arms, parallel‐groups, open‐label clinical trial to assess if the combination of antiparasitic praziquantel and albendazole is better than albendazole alone in the treatment of active parenchymal neurocysticercosis in Tanzania and Zambia. Background and Study Rationale: between the forms of human cysticercosis caused by Taenia solium, neurocysticercosis is a major contributor to the burden of seizure disorders and epilepsy in most of the world, while it has relatively poor clinical evidence on treatment options, requiring further data, mainly from additional randomized controlled trials. In particular albendazole and praziquantel are the two parasiticides recommended for use in treating active neurocysticercosis (NCC). Specifically, albendazole is recommended for use in patients with a single cyst while both albendazole and praziquantel (combination therapy) are recommended for patients with multiple cysts. However, not all patients with single cysts respond to albendazole monotherapy. Combination therapy may be effective in patients with single cysts as it has already been shown effective for multiple cysts. Most studies of treatment success for NCC have been conducted in Latin America and India. In India, the studies were performed primarily on singular cystic lesions. Despite Sub‐Saharan Africa (SSA) being recognized as endemic for this parasite, no study evaluating the success of standard treatment in humans has been conducted in this region. Additionally, it is difficult to extrapolate information from other regions other than SSA due to possible differences in genetic, clinical, and environmental factors. Primary Objective: The primary objective of this study is to determine if the anthelmintics combination of praziquantel and albendazole is better than albendazole alone in the treatment of the active parenchymal neurocysticercosis based on cyst resolution. Secondary Objectives: 1. To determine if the combination of antiparasitic praziquantel and albendazole is better than albendazole alone in the treatment of active parenchymal neurocysticercosis based on seizures reduction 2. To estimate the change in quality of life of patients with active symptomatic NCC before and after treatment with combined antiparasitic treatment and mono… 3. To assess the role of serology in diagnosis, management and follow up of participants treated for neurocysticercosis.",,,,"Cochrane Central Register of Controlled Trials (CENTRAL)",,,"CTgov NCT06376396","","","Trial registry record","Albendazole; Cysticercosis; Neurocysticercosis; Praziquantel; Taeniasis",,"https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02690395/full",
"CN-00812573","Garcia, HH; Lescano, AG; Lanchote, VL; Pretell, EJ; Gonzales, I; Bustos, JA; Takayanagui, OM; Bonato, PS; Horton, J; Saavedra, H; Gonzalez, AE; Gilman, RH","Pharmacokinetics of combined treatment with praziquantel and albendazole in neurocysticercosis","British journal of clinical pharmacology","2011","AIMS: Neurocysticercosis is the most common cause of acquired epilepsy in the world. Antiparasitic treatment of viable brain cysts is of clinical benefit, but current antiparasitic regimes provide incomplete parasiticidal efficacy. Combined use of two antiparasitic drugs may improve clearance of brain parasites. Albendazole (ABZ) has been used together with praziquantel (PZQ) before for geohelminths, echinococcosis and cysticercosis, but their combined use is not yet formally recommended and only scarce, discrepant data exist on their pharmacokinetics when given together. We assessed the pharmacokinetics of their combined use for the treatment of neurocysticercosis. METHODS: A randomized, double‐blind, placebo‐controlled phase II evaluation of the pharmacokinetics of ABZ and PZQ in 32 patients with neurocysticercosis was carried out. Patients received their usual concomitant medications including an antiepileptic drug, dexamethasone, and ranitidine. Randomization was stratified by antiepileptic drug (phenytoin or carbamazepine). Subjects had sequential blood samples taken after the first dose of antiparasitic drugs and again after 9 days of treatment, and were followed for 3 months after dosing. RESULTS: Twenty‐one men and 11 women, aged 16 to 55 (mean age 28) years were included. Albendazole sulfoxide concentrations were increased in the combination group compared with the ABZ alone group, both in patients taking phenytoin and patients taking carbamazepine. PZQ concentrations were also increased by the end of therapy. There were no significant side effects in this study group. CONCLUSIONS: Combined ABZ + PZQ is associated with increased albendazole sulfoxide plasma concentrations. These increased concentrations could independently contribute to increased cysticidal efficacy by themselves or in addition to a possible synergistic effect.","72","1","77‐84","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 21332573",,,,,"Journal article","Adolescent; Adult; Albendazole [*pharmacokinetics, therapeutic use]; Animals; Anthelmintics [*pharmacokinetics, therapeutic use]; Drug Therapy, Combination; Female; Humans; Male; Neurocysticercosis [drug therapy, *metabolism, parasitology]; Peru; Praziquantel [*pharmacokinetics, therapeutic use]; Taenia solium [isolation & purification]; Young Adult","10.1111/j.1365-2125.2011.03945.x","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00812573/full","Infectious Diseases"
"CN-01775791","Del Brutto, OH; Roos, KL; Coffey, CS; Garcia, HH","Meta-analysis: cysticidal drugs for neurocysticercosis: albendazole and praziquantel","Annals of internal medicine","2006","BACKGROUND: Conflicting reports have caused controversy on whether cysticidal drugs modify the natural course of neurocysticercosis. PURPOSE: To perform a meta‐analysis of randomized trials assessing the effect of cysticidal drugs on neuroimaging and clinical outcomes of patients with neurocysticercosis. DATA SOURCES: Search of MEDLINE, Cochrane Database of Systematic Reviews, and Literatura Latino‐Americana y del Caribe en Ciencias de la Salud (LILACS) between 1979 and 2005. There were no language restrictions. STUDY SELECTION: Randomized trials of cysticidal drug therapy for neurocysticercosis that met predefined criteria designed to allow characterization of the disease and objective evaluation of therapy. The authors independently reviewed articles. Abstracted data included study design, number of randomly assigned patients and withdrawals, intervention, adverse events, timing of neuroimaging studies, and outcomes. DATA SYNTHESIS: Eleven studies met the inclusion criteria. Six trials randomly assigned 464 patients with cystic lesions (vesicular cysticerci), and 5 trials randomly assigned 478 patients with enhancing lesions (colloidal cysticerci). Parasites were located in the brain parenchyma or subarachnoid space at the convexity of the cerebral hemispheres. Cysticidal drug therapy was associated with complete resolution of cystic lesions (44% vs. 19%; P = 0.025). Trials on enhancing lesions showed a trend toward lesion resolution favoring the use of cysticidal drugs (72% vs. 63%; P = 0.38) that became statistically significant when an outlier trial was excluded from the analysis (69% vs. 55%; P = 0.006). Risk for seizure recurrence was lower after cysticidal treatment in patients with enhancing lesions (14% vs. 37%; P < 0.001). The single trial evaluating the frequency of seizures in patients with cystic lesions showed a 67% reduction in the rate of generalized seizures with treatment (P = 0.006). LIMITATIONS: Not all studies focused on the control of seizures as an outcome. CONCLUSIONS: Cysticidal drug therapy results in better resolution of colloidal and vesicular cysticerci, lower risk for recurrence of seizures in patients with colloidal cysticerci, and a reduction in the rate of generalized seizures in patients with vesicular cysticerci.","145","1","43‐51","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 16818928","EMBASE 46780606",,,,"Journal article","*neurocysticercosis /drug therapy; Adolescent; Adult; Albendazole [adverse effects, *therapeutic use]; Anthelmintics [adverse effects, *therapeutic use]; Brain region; Child; Clinical trial; Cochrane Library; Controlled clinical trial; Controlled study; Double blind procedure; Drug efficacy; Female; Human; Humans; Major clinical study; Male; Medical record review; Medline; Meta analysis; Neurocysticercosis [complications, diagnostic imaging, *drug therapy]; Praziquantel [adverse effects, *therapeutic use]; Priority journal; Radiography; Randomized controlled trial; Review; Secondary Prevention; Seizures [etiology, prevention & control]; Subarachnoid Space [parasitology]; Subarachnoid space; Systematic review; Treatment duration; Treatment outcome","10.7326/0003-4819-145-1-200607040-00009","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-01775791/full",
"CN-00999284","Garcia, HH; Gonzales, I; Lescano, AG; Bustos, JA; Zimic, M; Escalante, D; Saavedra, H; Gavidia, M; Rodriguez, L; Najar, E; Umeres, H; Pretell, EJ","Efficacy of combined antiparasitic therapy with praziquantel and albendazole for neurocysticercosis: a double-blind, randomised controlled trial","The lancet. Infectious diseases","2014","BACKGROUND: Neurocysticercosis causes a substantial burden of seizure disorders worldwide. Treatment with either praziquantel or albendazole has suboptimum efficacy. We aimed to establish whether combination of these drugs would increase cysticidal efficacy and whether complete cyst resolution results in fewer seizures. We added an increased dose albendazole group to establish a potential effect of increased albendazole concentrations. METHODS: In this double‐blind, placebo‐controlled, phase 3 trial, patients with viable intraparenchymal neurocysticercosis were randomly assigned to receive 10 days of combined albendazole (15 mg/kg per day) plus praziquantel (50 mg/kg per day), standard albendazole (15 mg/kg per day), or increased dose albendazole (22·5 mg/kg per day). Randomisation was done with a computer generated schedule balanced within four strata based on number of cysts and concomitant antiepileptic drug. Patients and investigators were masked to group assignment. The primary outcome was complete cyst resolution on 6‐month MRI. Enrolment was stopped after interim analysis because of parasiticidal superiority of one treatment group. Analysis excluded patients lost to follow‐up before the 6‐month MRI. This trial is registered with ClinicalTrials.gov, number NCT00441285. FINDINGS: Between March 3, 2010 and Nov 14, 2011, 124 patients were randomly assigned to study groups (41 to receive combined albendazole plus praziquantel [39 analysed], 43 standard albendazole [41 analysed], and 40 increased albendazole [38 analysed]). 25 (64%) of 39 patients in the combined treatment group had complete resolution of brain cysts compared with 15 (37%) of 41 patients in the standard albendazole group (rate ratio [RR] 1·75, 95% CI 1·10‐2·79, p=0·014). 20 (53%) of 38 patients in the increased albendazole group had complete cyst resolution at 6‐month MRI compared with 15 (37%) of 41 patients in the standard albendazole group (RR 1·44, 95% CI 0·87‐2·38, p=0·151). No significant differences in adverse events were reported between treatment groups (18 in combined treatment group, 11 in standard albendazole group, and 19 in increased albendazole group). INTERPRETATION: Combination of albendazole plus praziquantel increases the parasiticidal effect in patients with multiple brain cysticercosis cysts without increased side‐effects. A more efficacious parasiticidal regime without increased treatment‐associated side‐effects should improve the treatment and long term prognosis of patients with neurocysticercosis. FUNDING: National Institute of Neurological Disorders and Stroke (NINDS), National Institutes of Health.","14","8","687‐695","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 24999157","EMBASE 53226578","","","","Journal article","*albendazole/ae [Adverse Drug Reaction]; *albendazole/cb [Drug Combination]; *albendazole/ct [Clinical Trial]; *albendazole/dt [Drug Therapy]; *drug efficacy; *neurocysticercosis/dt [Drug Therapy]; *praziquantel/ae [Adverse Drug Reaction]; *praziquantel/cb [Drug Combination]; *praziquantel/ct [Clinical Trial]; *praziquantel/dt [Drug Therapy]; Adolescent; Adult; Aged; Albendazole [adverse effects, *therapeutic use]; Anthelmintics [adverse effects, *therapeutic use]; Article; Combination chemotherapy; Controlled study; Double blind procedure; Double‐Blind Method; Drug dose increase; Drug‐Related Side Effects and Adverse Reactions [epidemiology, pathology]; Female; Follow up; Headache/si [Side Effect]; Hepatitis/si [Side Effect]; Human; Humans; Major clinical study; Male; Middle Aged; Monotherapy; Neurocysticercosis [*drug therapy]; Nuclear magnetic resonance imaging; Phase 3 clinical trial; Placebo; Placebos [administration & dosage]; Praziquantel [adverse effects, *therapeutic use]; Priority journal; Randomized controlled trial; Seizure/si [Side Effect]; Treatment Outcome; Unspecified side effect/si [Side Effect]; Young Adult","10.1016/S1473-3099(14)70779-0","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-00999284/full",
"CN-02376164","Singh, K; Saini, AG; Khandelwal, N; Singhi, P","Efficacy of Combination Therapy of Albendazole and Praziquantel vs Albendazole Monotherapy in Children With Persistent Neurocysticercosis: a Randomized Controlled Trial","Journal of child neurology","2022","Aim: To compare the efficacy of combined albendazole and praziquantel therapy vs albendazole monotherapy in a placebo‐controlled, double‐blinded, randomized trial in children with persisting neurocysticercosis. Methods: Children with persistent neurocysticercosis were randomized into 3 groups—albendazole (n = 19), albendazole and praziquantel (n = 21), and placebo (n = 20)—for 30 days and followed up at 3 and 6 months for resolution and recurrence of seizures. Results: Mean age of children was 9.3 ± 2.9 years (range 3‐14). At baseline, the majority of lesions were ring‐enhancing (70%), colloidal (97%), with scolex (68%) and perilesional‐edema (45%), and located in the parietal (58%) lobe. One case each in albendazole and placebo groups had a recurrence of seizure in the first month of treatment. The majority (62%) of children in the combination therapy group showed complete resolution of the persisting lesion at the end of 6 months compared to the albendazole alone group (26.3%, P =.02). Percentage reduction in the lesion's mean area at 6 months was highest in the combination group compared with other groups (P =.006). Rate of calcification was identical in all 3 groups (10%). None of the patients required interruption of therapy. Conclusion: Our study demonstrates the safety and efficacy of albendazole and praziquantel in combination for complete radiologic resolution in children with persistent neurocysticercosis when compared with albendazole monotherapy or placebo. The combination therapy did not result in increased seizure recurrence or adverse drug reaction compared with albendazole monotherapy.","37","5","366‐372","Cochrane Central Register of Controlled Trials (CENTRAL)","PUBMED 35213246","EMBASE 2015143747",,,,"Journal article","*monotherapy; *neurocysticercosis; Adolescent; Adverse drug reaction; Albendazole [adverse effects, therapeutic use]; Anthelmintics [adverse effects, therapeutic use]; Article; Calcification; Child; Child, Preschool; Clinical article; Clinical trial; Comparative effectiveness; Controlled study; Double blind procedure; Drug Therapy, Combination; Drug combination; Drug efficacy; Drug safety; Drug therapy; Edema; Female; Human; Humans; Male; Neurocysticercosis [complications, diagnostic imaging, drug therapy]; Nonhuman; Praziquantel [adverse effects, therapeutic use]; Randomized controlled trial; School child; Scolex; Seizure; Seizures [drug therapy, etiology]; Side effect","10.1177/08830738221077762","https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02376164/full",
